target,addr,date,target_number,floor,total_floor,building_state,house_age,building_size,pattern_room,pattern_hall,pattern_health,manages,total_price,unit_price,cart_price
房地(土地+建物)+車位,臺北市大安區敦化南路二段121~150號,1090319,土地2建物1車位1,九層,十九層,住宅大樓(11層含以上有電梯),35,150.95,4,1,2,有,30000000,198741,0
房地(土地+建物),臺北市大安區敦化南路一段301~330號,1090302,土地1建物1車位0,十四層,十四層,住宅大樓(11層含以上有電梯),0,137.33,3,2,2,有,36000000,262142,0
房地(土地+建物),臺北市松山區南京東路三段335巷1~30號,1090218,土地1建物1車位0,六層,七層,套房(1房1廳1衛),34,41.61,1,1,1,有,9050000,217496,0
房地(土地+建物),臺北市大同區延平北路一段31~60號,1090202,土地1建物1車位0,十一層,十一層,套房(1房1廳1衛),39,24.6,1,0,1,有,3600000,146341,0
房地(土地+建物),臺北市內湖區康寧路三段54巷1~30號,1090105,土地1建物1車位0,七層,十二層,住宅大樓(11層含以上有電梯),23,90,2,2,1,有,18180000,202000,0
房地(土地+建物),臺北市士林區延平北路六段258巷1~30號,1081221,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),39,117.4,3,2,1,無,11800000,100511,0
房地(土地+建物),臺北市信義區松隆路91~120號,1081121,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),37,124.91,3,2,2,無,17500000,140101,0
房地(土地+建物),臺北市中山區民權東路三段61~90號,1081020,土地1建物1車位0,三層,十九層,住宅大樓(11層含以上有電梯),33,140.55,2,2,2,有,29080000,206887,0
房地(土地+建物),臺北市信義區永吉路517巷1弄1~30號,1081019,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),49,89.16,7,4,2,無,15800000,177210,0
房地(土地+建物),臺北市中山區林森北路133巷1~30號,1080827,土地1建物1車位0,三層,三層,公寓(5樓含以下無電梯),0,68,2,1,2,無,11150000,163971,0
房地(土地+建物),臺北市內湖區星雲街161巷1~30號,1080819,土地1建物1車位0,一層,十四層,住宅大樓(11層含以上有電梯),14,103.62,4,2,2,有,23500000,226790,0
